"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Munde Gopinathrao Pandurang";"Beed";"66.88%";"32";"465";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"64";"Male";"Graduate";"15th";"7";"1";"0";"1";"1";"0";"13";"0";"5";"1";"31";"32";"1";"1";"16";"15";"3";"52";"28";"18";"19";"26";"23";"11";"24";"8";"4";"13";"0";"12";"1";"16";"10";"10";"5";"18";"10";"8";"1";"5";"3";"1";"1";"1";"5";"10";"5";"0";"4";"6";"3";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Munisamy Thambidurai";"Karur";"86.19%";"102";"370";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"66";"Male";"Doctorate";"15th";"23";"0";"12";"7";"1";"4";"28";"3";"15";"0";"17";"27";"1";"1";"14";"24";"3";"23";"26";"14";"18";"18";"17";"8";"16";"7";"4";"12";"2";"12";"1";"10";"9";"9";"3";"11";"2";"9";"0";"3";"5";"3";"3";"4";"3";"5";"7";"2";"6";"0";"1";"1";"0";"2";"0";"5";"1";"1";"0";"0";"1";"1";"1";"1";"0";"2";"2";"0";"0";"0";"1";"0";"0"
"Murarilal Singh";"Surguja";"64.14%";"5";"91";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18 May 09";"03/12/2013";"";"61";"Male";"Inter/ Higher Secondary";"15th";"0";"0";"0";"1";"3";"1";"0";"0";"0";"4";"2";"8";"0";"0";"14";"1";"1";"6";"6";"5";"2";"2";"4";"2";"0";"2";"4";"3";"0";"1";"0";"1";"4";"2";"0";"0";"0";"0";"3";"0";"0";"0";"1";"1";"0";"2";"1";"2";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Murli Manohar Joshi";"Varanasi";"83.12%";"29";"577";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"80";"Male";"Doctorate";"15th";"6";"2";"4";"5";"0";"1";"4";"0";"5";"1";"79";"14";"4";"5";"8";"13";"6";"20";"38";"1";"43";"37";"6";"19";"5";"23";"0";"20";"2";"49";"1";"9";"13";"43";"0";"11";"24";"7";"3";"2";"0";"3";"0";"4";"11";"16";"12";"0";"2";"12";"1";"1";"0";"4";"0";"1";"4";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Veerappa Moily";"Chikkballapur";"";"0";"0";"0";"Karnataka";"Indian National Congress";"Elected";"18 May 09";"In office";"";"74";"Male";"Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"M. Vijaya Shanthi";"Medak";"15.81%";"0";"0";"0";"Andhra Pradesh";"Telangana Rashtra Samithi";"Elected";"18 May 09";"In office";"";"47";"Female";"Matric";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nalin Kumar Kateel";"Dakshina Kannada";"70.31%";"15";"283";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"47";"Male";"Matric";"15th";"5";"4";"0";"3";"2";"0";"0";"0";"0";"1";"20";"12";"3";"3";"15";"18";"1";"9";"32";"9";"5";"7";"19";"10";"3";"3";"6";"14";"1";"4";"1";"5";"13";"13";"0";"1";"1";"0";"2";"4";"3";"6";"3";"2";"1";"1";"14";"3";"3";"1";"3";"5";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nama Nageswara Rao";"Khammam";"85.44%";"114";"488";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18 May 09";"In office";"";"56";"Male";"Inter/ Higher Secondary";"15th";"18";"6";"23";"11";"6";"4";"23";"1";"16";"1";"38";"26";"1";"3";"16";"20";"6";"26";"30";"19";"12";"16";"23";"12";"8";"18";"5";"11";"3";"18";"3";"23";"19";"17";"2";"6";"7";"11";"1";"9";"5";"9";"2";"2";"2";"7";"12";"5";"4";"10";"6";"4";"0";"2";"1";"2";"1";"4";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Namo Narain Meena";"Tonk-Sawai Madhopur";"";"0";"0";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"70";"Male";"Post Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Narahari Mahato";"Purulia";"73.25%";"53";"650";"0";"West Bengal";"All India Forward Bloc";"Elected";"18 May 09";"In office";"";"57";"Male";"Post Graduate";"15th";"12";"0";"11";"7";"5";"4";"3";"1";"6";"10";"19";"28";"2";"6";"22";"31";"11";"29";"35";"10";"22";"23";"18";"17";"10";"1";"18";"13";"15";"18";"3";"14";"25";"29";"3";"12";"17";"2";"5";"29";"12";"7";"9";"18";"13";"19";"24";"8";"9";"15";"8";"2";"0";"1";"0";"7";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Naramalli Sivaprasad";"Chittoor";"59.50%";"5";"16";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18 May 09";"In office";"";"62";"Male";"Graduate";"15th";"0";"0";"2";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Naranbhai Kachhadia";"Amreli";"86.62%";"86";"768";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"58";"Male";"Under Matric";"15th";"28";"15";"5";"15";"7";"2";"1";"1";"10";"10";"27";"40";"4";"5";"31";"23";"17";"31";"35";"26";"24";"29";"28";"9";"13";"19";"14";"27";"14";"16";"5";"28";"23";"24";"11";"14";"12";"13";"9";"13";"5";"11";"8";"12";"16";"13";"21";"7";"17";"21";"15";"6";"0";"2";"4";"5";"4";"7";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Narayan Singh Amlabe";"Rajgarh";"88.12%";"70";"133";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"62";"Male";"Inter/ Higher Secondary";"15th";"36";"22";"1";"6";"3";"0";"0";"1";"1";"0";"4";"7";"0";"0";"6";"7";"1";"6";"14";"1";"2";"1";"4";"2";"0";"5";"0";"15";"0";"4";"0";"6";"18";"4";"0";"0";"2";"0";"0";"3";"4";"0";"0";"0";"5";"0";"10";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Narendra Singh Tomar";"Morena";"56.81%";"10";"215";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"56";"Male";"Graduate";"15th";"2";"0";"0";"2";"0";"0";"4";"0";"2";"2";"14";"10";"1";"0";"12";"8";"8";"8";"18";"10";"8";"2";"10";"5";"4";"6";"6";"10";"0";"5";"3";"4";"8";"7";"0";"2";"8";"4";"0";"1";"3";"0";"0";"2";"1";"3";"5";"3";"5";"2";"3";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Natubhai Gomanbhai Patel";"Dadra and Nagar Haveli";"41.62%";"2";"33";"0";"Dadra and Nagar Haveli";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"41";"Male";"Under Matric";"15th";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"2";"0";"4";"1";"0";"1";"3";"1";"1";"3";"3";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Naveen Jindal";"Kurukshetra";"80.94%";"20";"516";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"43";"Male";"Post Graduate";"15th";"1";"0";"3";"4";"4";"5";"0";"1";"1";"1";"29";"58";"0";"2";"20";"44";"7";"45";"21";"14";"22";"12";"16";"13";"30";"1";"4";"14";"0";"3";"2";"16";"24";"10";"2";"17";"12";"8";"0";"19";"2";"0";"3";"0";"4";"3";"4";"0";"18";"0";"4";"4";"0";"1";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Navjot Singh Sidhu";"Amritsar";"31.81%";"3";"99";"0";"Punjab";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"50";"Male";"Graduate";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"12";"5";"0";"1";"7";"2";"2";"11";"4";"2";"4";"1";"9";"1";"12";"2";"0";"2";"1";"2";"0";"3";"3";"1";"1";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"4";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"N Cheluvaraya Swamy @ Swamygowda";"Mandya";"57.15%";"18";"835";"0";"Karnataka";"Janata Dal (Secular)";"Elected";"18 May 09";"21/05/2013";"";"53";"Male";"Diploma Course";"15th";"2";"5";"1";"3";"2";"0";"0";"2";"1";"5";"37";"44";"2";"4";"30";"54";"14";"32";"47";"32";"31";"45";"27";"19";"17";"29";"10";"26";"7";"31";"10";"24";"20";"28";"2";"3";"18";"12";"9";"15";"15";"10";"9";"10";"16";"22";"14";"4";"4";"17";"8";"2";"0";"5";"1";"10";"1";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"N.Dharam Singh";"Bidar";"70.69%";"4";"50";"0";"Karnataka";"Indian National Congress";"Elected";"18 May 09";"In office";"";"77";"Male";"Post Graduate";"15th";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"3";"1";"1";"0";"3";"3";"0";"3";"4";"1";"3";"0";"7";"1";"0";"0";"0";"1";"0";"3";"1";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Neeraj Shekhar";"Ballia";"91.31%";"33";"820";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Graduate";"15th";"12";"6";"3";"4";"3";"0";"4";"1";"0";"1";"74";"60";"7";"1";"51";"46";"10";"67";"32";"24";"38";"35";"27";"16";"43";"6";"11";"17";"3";"18";"7";"26";"39";"15";"1";"19";"10";"12";"2";"13";"6";"1";"3";"2";"7";"14";"7";"6";"11";"7";"4";"17";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nikhil Kumar Choudhary";"Katihar";"86.56%";"33";"183";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"68";"Male";"Graduate";"15th";"16";"8";"2";"1";"5";"0";"1";"0";"0";"1";"12";"11";"0";"0";"11";"15";"4";"13";"9";"1";"8";"6";"10";"2";"8";"4";"1";"9";"1";"4";"1";"1";"4";"4";"0";"10";"3";"1";"1";"3";"3";"1";"0";"0";"1";"3";"6";"2";"1";"0";"3";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nilesh Narayan Rane";"Ratnagiri-Sindhudurg";"70.12%";"19";"606";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"32";"Male";"Doctorate";"15th";"3";"8";"2";"3";"3";"0";"0";"0";"0";"0";"43";"28";"6";"3";"52";"31";"8";"25";"44";"14";"23";"22";"23";"7";"7";"13";"6";"29";"1";"18";"0";"24";"22";"30";"2";"8";"3";"13";"4";"8";"1";"7";"9";"1";"7";"11";"13";"3";"9";"3";"6";"6";"0";"1";"3";"6";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ninong Ering";"Arunachal East";"87.45%";"19";"26";"0";"Arunachal Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"55";"Male";"Graduate";"15th";"5";"4";"3";"3";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"3";"0";"5";"2";"0";"1";"2";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nirmal Khatri";"Faizabad";"93.38%";"37";"24";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Doctorate";"15th";"0";"29";"0";"1";"5";"0";"0";"0";"2";"0";"0";"2";"0";"0";"6";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"3";"0";"1";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nishikant Dubey";"Godda";"95.25%";"93";"817";"5";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Post Graduate";"15th";"32";"22";"17";"7";"1";"0";"4";"0";"4";"16";"26";"34";"9";"9";"23";"25";"13";"35";"35";"18";"31";"34";"23";"19";"20";"18";"14";"19";"19";"16";"11";"26";"16";"19";"7";"11";"17";"11";"12";"14";"18";"11";"13";"18";"15";"29";"10";"15";"11";"21";"9";"8";"6";"4";"13";"12";"2";"1";"1";"1";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Nityananda Pradhan";"Aska";"65.56%";"7";"682";"0";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"69";"Male";"Post Graduate";"15th";"1";"0";"1";"1";"3";"0";"0";"0";"1";"5";"30";"51";"5";"1";"24";"40";"6";"58";"22";"15";"30";"11";"41";"8";"8";"15";"1";"31";"3";"10";"1";"19";"27";"24";"3";"12";"5";"14";"2";"17";"21";"15";"9";"10";"16";"18";"2";"11";"0";"3";"7";"5";"1";"11";"0";"6";"3";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"N. Peethambara Kurup";"Kollam";"87.06%";"35";"189";"0";"Kerala";"Indian National Congress";"Elected";"18 May 09";"In office";"";"71";"Male";"Graduate";"15th";"10";"8";"2";"6";"2";"2";"1";"0";"2";"0";"16";"9";"0";"0";"18";"5";"4";"6";"16";"4";"8";"9";"13";"6";"5";"5";"5";"3";"0";"0";"0";"1";"3";"6";"2";"2";"2";"7";"0";"1";"1";"1";"3";"1";"5";"1";"5";"5";"6";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nripendra Nath Roy";"Cooch Behar";"74.75%";"53";"636";"0";"West Bengal";"All India Forward Bloc";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"15th";"19";"10";"4";"5";"4";"1";"1";"3";"4";"12";"20";"29";"2";"5";"25";"31";"10";"31";"31";"12";"24";"18";"18";"18";"10";"5";"17";"10";"12";"17";"2";"12";"20";"29";"3";"13";"12";"2";"4";"28";"13";"7";"8";"17";"13";"17";"23";"10";"9";"17";"6";"2";"1";"1";"0";"9";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"N.S.V. Chitthan";"Dindigul";"86.62%";"61";"486";"2";"Tamil Nadu";"Indian National Congress";"Elected";"18 May 09";"In office";"";"79";"Male";"Graduate";"15th";"1";"46";"1";"3";"5";"2";"1";"0";"1";"1";"42";"44";"6";"1";"29";"18";"8";"27";"30";"11";"14";"18";"21";"15";"9";"5";"5";"11";"4";"7";"1";"22";"14";"14";"2";"6";"7";"6";"1";"10";"6";"4";"9";"7";"8";"11";"8";"3";"5";"3";"5";"2";"0";"1";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Om Prakash Yadav";"Siwan";"73.69%";"29";"319";"9";"Bihar";"Independent";"Elected";"18 May 09";"In office";"";"51";"Male";"Graduate";"15th";"6";"10";"4";"1";"2";"0";"0";"0";"1";"3";"17";"31";"1";"1";"22";"13";"4";"18";"10";"8";"14";"13";"6";"10";"11";"16";"3";"8";"3";"15";"0";"14";"11";"13";"3";"7";"5";"1";"1";"4";"2";"0";"1";"4";"1";"3";"8";"4";"6";"0";"0";"3";"0";"0";"0";"1";"0";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"O. S. Manian";"Mayiladuthurai";"71.88%";"52";"60";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"59";"Male";"Inter/ Higher Secondary";"15th";"20";"8";"4";"5";"7";"2";"0";"0";"3";"0";"4";"3";"0";"0";"7";"3";"0";"3";"5";"6";"2";"0";"0";"1";"0";"2";"0";"4";"0";"3";"0";"5";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Paban Singh Ghatowar";"Dibrugarh";"91.14%";"9";"18";"0";"Assam";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Graduate";"15th";"1";"0";"3";"2";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Padamsinha Bajirao Patil";"Osmanabad";"58.38%";"3";"237";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"73";"Male";"Graduate";"15th";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"19";"11";"0";"2";"14";"19";"2";"24";"2";"14";"8";"4";"9";"4";"12";"2";"1";"7";"0";"7";"0";"7";"5";"12";"3";"6";"2";"1";"2";"4";"0";"3";"1";"6";"5";"1";"2";"2";"2";"3";"1";"1";"0";"0";"4";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pakauri Lal";"Robertsganj";"84.56%";"19";"61";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"61";"Male";"Under Matric";"15th";"5";"7";"0";"1";"4";"0";"0";"0";"2";"1";"6";"2";"0";"1";"0";"1";"0";"6";"5";"0";"0";"1";"2";"4";"0";"1";"1";"2";"0";"1";"1";"1";"6";"5";"0";"0";"0";"1";"0";"2";"0";"1";"0";"0";"0";"1";"4";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Palaniappan Chidambaram";"Sivaganga";"";"0";"0";"0";"Tamil Nadu";"Indian National Congress";"Elected";"18 May 09";"In office";"";"68";"Male";"Post Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Paramjit Kaur Gulshan";"Faridkot";"79.81%";"29";"129";"0";"Punjab";"Shiromani Akali Dal";"Elected";"18 May 09";"In office";"";"65";"Female";"Post Graduate";"15th";"1";"10";"1";"6";"4";"0";"2";"2";"2";"2";"12";"3";"0";"4";"10";"6";"1";"9";"3";"7";"9";"1";"1";"6";"10";"1";"4";"1";"0";"4";"1";"2";"2";"1";"0";"3";"8";"6";"0";"2";"0";"0";"0";"0";"0";"0";"4";"1";"2";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Partap Singh Bajwa";"Gurdaspur";"82.00%";"37";"359";"1";"Punjab";"Indian National Congress";"Elected";"18 May 09";"In office";"";"57";"Male";"Graduate";"15th";"14";"9";"4";"2";"3";"0";"3";"0";"1";"1";"16";"34";"0";"3";"8";"19";"5";"20";"21";"19";"11";"13";"8";"5";"18";"10";"1";"4";"0";"9";"1";"20";"9";"12";"2";"6";"11";"4";"1";"4";"7";"2";"2";"2";"3";"6";"8";"5";"9";"8";"3";"1";"0";"1";"0";"2";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pashupati Nath Singh";"Dhanbad";"91.06%";"24";"301";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"64";"Male";"Graduate";"15th";"8";"9";"0";"2";"2";"2";"0";"0";"0";"4";"21";"21";"0";"2";"8";"20";"2";"17";"15";"5";"17";"20";"4";"12";"7";"9";"0";"5";"6";"8";"1";"10";"11";"2";"1";"3";"6";"4";"6";"6";"1";"2";"1";"2";"3";"3";"13";"0";"0";"14";"1";"0";"0";"1";"1";"4";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pawan Kumar Bansal";"Chandigarh";"85.00%";"0";"26";"0";"Chandigarh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"65";"Male";"Graduate";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"5";"1";"6";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Balram";"Mahabubabad";"69.45%";"10";"429";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"49";"Male";"Graduate";"15th";"0";"9";"1";"0";"0";"0";"0";"0";"0";"9";"30";"21";"2";"1";"19";"18";"1";"17";"22";"18";"15";"19";"12";"5";"6";"14";"7";"7";"4";"19";"4";"11";"16";"28";"6";"10";"7";"7";"6";"2";"0";"4";"3";"5";"5";"9";"6";"2";"11";"2";"3";"0";"0";"0";"6";"5";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
